"id","likesCount","ownerUsername","postUrl","replies/0/id","replies/0/likesCount","replies/0/ownerUsername","replies/0/text","replies/0/timestamp","replies/1/id","replies/1/likesCount","replies/1/ownerUsername","replies/1/text","replies/1/timestamp","replies/2/id","replies/2/likesCount","replies/2/ownerUsername","replies/2/text","replies/2/timestamp","repliesCount","text","timestamp"
"17987434639428850","0","soni.archana43","https://www.instagram.com/p/CQLs3J6pn7l/","17925595208029791","0","beminimalist__","Hey @soni.archana43 We do not have any product for dark circles in our portfolio, however, we are working on a few under eye product and will try to launch them soon. Apart from that, since adding multiple actives/acids together is not recommended, would suggest you please start with 2 products to fix your primary skin concerns first & gradually you can add more products with time. 

Can you help me with 2 primary concerns you wish to address over DM.","2022-01-11T05:27:44.000Z",,,,,,,,,,,"1","Hi..I am in my 39. Having hollow ness and darkness around eyes, fine lines, darkness around mouth,uneven skin tone and acne scars on my face..plz suggest am and pm routine.","2022-01-08T07:48:04.000Z"
"17918418884292382","0","suchitra_39","https://www.instagram.com/p/CQLs3J6pn7l/","17992848772422717","0","beminimalist__","@suchitra_39 Hey, yes you can use it before these actives","2022-01-24T05:40:32.000Z",,,,,,,,,,,"1","Can i use hyaluronic essence before peptide and retinol?","2022-01-23T11:03:20.000Z"
"17906561774397587","0","sanchita_shalu","https://www.instagram.com/p/CQLs3J6pn7l/","17957481100538117","0","beminimalist__","@sanchita_shalu Hey, may we please know why do you wish to use 2 anti aging serum together?","2022-01-27T05:32:12.000Z",,,,,,,,,,,"1","how to layer niacinamide,retinol 0.3 and multipeptide","2022-01-25T10:21:40.000Z"
"18278534833040706","1","sonalissugandhi","https://www.instagram.com/p/CQLs3J6pn7l/","17945519377742596","0","beminimalist__","@i_m_sonali53 Hey, so �here is the skincare routine you should follow: 

""AM : Vitamin C > Alpha Arbutin > Niacinamide
 PM : Alpha Arbutin > Multi Peptide > Niacinamide 
 
  Please note the below points before you start following this routine : 
 *Do a patch test before using the product
 *Keep 3-5 mins gap while layering the products
 *Always wear a broad-spectrum sunscreen SPF 30 or above during the day as your skin becomes more susceptible to sunburn
 *Apply all actives on dry skin & use only 2-3 drops of serum for application
 *Below is the general layering practice one should follow while incorporating skincare actives in your routine
 
 AM : Cleanse > Tone > Skincare Actives > Moisturizer > Sunscreen (SPF30 or above)
 PM : Cleanse > Tone > Skincare Actives > Moisturizer"" 

Since adding multiple actives/acids together is not recommended, would suggest you please start with 2 products to fix your primary skin concerns first & gradually you can add more products with time.","2022-02-02T04:59:39.000Z",,,,,,,,,,,"1","@beminimalist__ hello can we layer vitamin c + alpha arbutin with niacinamide + peptides.","2022-02-01T08:03:39.000Z"
"17944267393771777","0","shivoaham","https://www.instagram.com/p/CQLs3J6pn7l/","18001945579403655","0","beminimalist__","@shivoaham Hey, if you wish to start with an anti-aging product then we suggest you go with either Granactive Retinoid or Multi-peptide (as per your choice)

Granactive Retinoid 2% is a next-generation anti-aging formula that helps in removing fine line wrinkles by increasing cell turnover & stimulating collagen products thus revealing radiant glowy skin 

Multi-Peptide Serum (7% Matrixyl 3000 + 3% Bio-Placenta) is a rejuvenating collagen boosting serum that restores youthfulness, resulting in younger, firmer-looking skin. It boosts skin moisturization & helps in reducing under eyes wrinkles & crow's feet

Don't go for Retinol as it is not a beginner-friendly product","2022-02-10T05:25:42.000Z",,,,,,,,,,,"1","Hey @beminimalist__ , I am new to this. Never used retinol before (I am 29 years old). Can you please suggest me which product is good for a beginner like me. Retinol, retinoid or multi-peptide? Started using vitamin c in AM routine recently.","2022-02-08T06:21:11.000Z"
"17953449514631934","0","athanasia_petalrose","https://www.instagram.com/p/CQLs3J6pn7l/","17954772868653773","0","beminimalist__","@athanasia_petalrose Hey, Lactic acid here is used just for pH adjustment and is used in extremely low concentrations.","2022-02-23T04:47:40.000Z",,,,,,,,,,,"1","I have checked the ingredients list of multi peptide serum it has lactic acid as last ingredients and my skin cannot handle lactic acid, how much percentage of lactic acid is used can u plz tell I really want to try peptide serum....","2022-02-18T21:33:00.000Z"
"17928782900104439","0","sakshiagarwal001","https://www.instagram.com/p/CQLs3J6pn7l/","18226598737129812","0","beminimalist__","Hey @sakshiagarwal001,  Multi-Peptide Serum (7% Matrixyl 3000 + 3% Bio-Placenta) costs ₹ 695 and Granactive Retinoid 2% (Emulsion) costs ₹ 695","2022-03-03T11:59:25.000Z",,,,,,,,,,,"1","Pp","2022-03-02T12:57:17.000Z"
"17960619403625732","0","kinpamei","https://www.instagram.com/p/CQLs3J6pn7l/","17936747912007775","0","beminimalist__","Hey @kinpamei Yes, Granactive Retinoid 2% is beginner friendly as Granactive Retinoid 2% is a next-generation anti-aging formula that helps in removing fine line wrinkles by increasing cell turnover & stimulating collagen product thus revealing radiant glowy skin 

You can also add Hyaluronic + PGA 02% as it is a hydrating booster with 4 different types of Hyaluronic Acid Molecules along with super hydrator Polyglutamic Acid (PGA). Provides multi-level hydration throughout the day.","2022-03-26T06:26:27.000Z",,,,,,,,,,,"1","Retinoid 2% face cream can use for beginners.....as my skin is  dry and sensitive","2022-03-25T16:36:05.000Z"
"18018654763372791","1","gopikaaahhh","https://www.instagram.com/p/CQLs3J6pn7l/","17928968384174353","0","beminimalist__","Hey @gopikaaahhh, We have a different product for acne and acne scars would request you to please DM us so that we can recommend you accordingly 😊","2022-04-02T05:51:09.000Z",,,,,,,,,,,"1","Hi, I'm having acne,acne scars and I'm 18 yrs old, do u recommend this retinoid to get rid of that?","2022-03-30T12:28:11.000Z"
"17869623827701457","0","falak_amirah","https://www.instagram.com/p/CQLs3J6pn7l/","18032291512358326","0","beminimalist__","@falak_amirah Hey, yes you can. 
May we please understand why do you wish to include Multi peptide serum along with Retinol serum?","2022-05-04T10:37:51.000Z",,,,,,,,,,,"1","Can I use multi peptide n retinol together?","2022-04-30T14:54:53.000Z"
"18295884376005748","0","iamsanyamishra","https://www.instagram.com/p/CQLs3J6pn7l/","18242025085102649","0","beminimalist__","@iamsanyamishra Hey, you can use them in different AM/PM routine

�Here is the skincare routine you should follow: 
""AM : Vitamin C
 PM : Multi Peptide
 
  Please note the below points before you start following this routine : 
 *Do a patch test before using the product
 *Keep 3-5 mins gap while layering the products
 *Always wear a broad-spectrum sunscreen SPF 30 or above during the day as your skin becomes more susceptible to sunburn
 *Apply all actives on dry skin & use only 2-3 drops of serum for application
 *Below is the general layering practice one should follow while incorporating skincare actives in your routine
 
 AM : Cleanse > Tone > Skincare Actives > Moisturizer > Sunscreen (SPF30 or above)
 PM : Cleanse > Tone > Skincare Actives > Moisturizer""","2022-05-21T06:01:55.000Z",,,,,,,,,,,"1","Can u use Vitamin C serum with multi peptide and how to layer it","2022-05-02T18:41:57.000Z"
